Artist,Title,Label,Peak,Weeks
16 Bit,Changing Minds,Ariola,43,1
16 Bit,Where Are You?,Ariola,50,1
2 Plus 1,"Easy Come, Easy Go",Autobahn,40,3
49ers,Touch Me,BCM,47,1
5 Star,Can't Wait Another Minute,RCA,55,1
5 Star,Find The Time,Tent,42,1
5 Star,System Addict,RCA,33,1
A Flock Of Seagulls,I Ran,Jive,31,1
A Flock Of Seagulls,"The More You Live, The More You Love",Jive,58,1
A Flock Of Seagulls,Wishing (If I Had A Photograph Of You),Jive,72,1
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),Polydor,3,10
ABBA,Head Over Heels,Polydor,69,1
ABBA,I Have A Dream,Polydor,4,10
ABBA,Lay All Your Love On Me,Polydor,35,1
ABBA,One Of Us,Polydor,33,1
ABBA,Super Trouper,Polydor,58,1
ABBA,The Day Before You Came,Polydor,70,1
ABBA,The Winner Takes It All,Polydor,14,1
ABBA,Under Attack,Polydor,37,1
ABBA,Voulez-vous,Polydor,14,15
ABC,All Of My Heart,Vertigo,67,1
ABC,One Better World,Mercury-Phonogram,55,1
ABC,The Look Of Love,Vertigo,66,1
ABC,The Night You Murdered Love,Mercury-Phonogram,41,1
ABC,When Smokey Sings,Mercury-Phonogram,55,1
AC/DC,Heatseeker,Atlantic,26,1
AC/DC,Hells Bells,Atlantic,36,1
AC/DC,Highway To Hell,Atlantic,36,10
AC/DC,Let's Get It Up,Atlantic,33,1
AC/DC,Touch Too Much,Atlantic,20,1
AC/DC,You Shook Me All Night Long,Atlantic,36,1
Abigail Mead & Nigel Goulding,Full Metal Jacket (I Wanna Be Your Drill Instructor),Warner Bros.,58,1
Achim Reichel,Der Spieler,Ahorn,63,1
Achim Reichel,Fliegende Pferde,WEA,69,1
Adam And The Ants,Ant Rap,CBS,45,1
Adam And The Ants,Deutscher Girls,EG,67,1
Adam And The Ants,Prince Charming,CBS,32,1
Adam And The Ants,Stand And Deliver,CBS,75,1
Adam Ant,Friend Or Foe,CBS,54,1
Adam Ant,Goody Two Shoes,CBS,59,1
Adam Ant,Puss 'n Boots,CBS,70,1
Adeva,I Thank You,Chrysalis,94,1
After The Fire,Der Kommissar,CBS,62,1
Agnetha Fältskog,I Won't Let You Go,Polydor,66,1
Agnetha Fältskog,The Heat Is On,Polydor,47,1
Agnetha Fältskog,The Last Time,WEA,51,1
Agnetha Fältskog,Wrap Your Arms Around Me,Polydor,48,1
Air Supply,Making Love (Out Of Nothing At All),Arista,67,1
Al Bano & Romina Power,Canzone blu,Baby,66,1
Al Bano & Romina Power,Che angelo sei,Baby,41,1
Al Bano & Romina Power,Ci sarà,Baby,60,1
Al Bano & Romina Power,Felicità,Baby,22,1
Al Bano & Romina Power,Sempre sempre,WEA,47,1
Al Bano & Romina Power,Sharazan,Baby,26,1
Al Bano & Romina Power,"Tu, soltanto tu (mi hai fatto innamorare)",Baby,75,1
Al Corley,Face To Face,Mercury-Phonogram,71,1
Al Corley,Land Of The Giants,Mercury-Phonogram,70,1
Al Corley,Square Rooms,Mercury,48,1
Al Hudson & The Partners,You Can Do It,MCA,13,13
Alan Price,Changes,Ariola,42,1
Alan Sorrenti,Non so che darei,Strand,31,1
Alan Sorrenti,Tu sei l'unica donna per me,Decca,13,16
Alan and Denise,Rummenigge,Blow Up,47,1
Albert Hammond,When I'm Gone,CBS,68,1
Alexander O'Neal,Criticize,Tabu,52,1
Alexander O'Neal,Fake,Tabu,29,1
Alexander O'Neal,The Official Bootleg Megamix Vol. 2,Tabu,43,1
Alexander O'Neal feat. Cherrelle,Never Knew Love Like This,Tabu,51,1
Alf,Stuck On Earth,RCA,37,1
Alice,A cosa pensano,EMI,74,1
Alice,Messaggio,EMI,42,1
Alice,Nomadi,EMI,70,1
Alice,Per Elisa,EMI,66,1
Alice,Summer On A Solitary Beach,EMI,61,1
Alice,Una notte speciale,EMI,24,1
Alice Cooper,Clones (We're All),Warner Bros.,58,1
Alice Cooper,Poison,Epic,100,1
Alisha,Baby Talk,Vanguard-Metronome,33,1
Alison Moyet,All Cried Out,CBS,30,1
Alison Moyet,For You Only,CBS,47,1
Alison Moyet,Invisible,CBS,40,1
Alison Moyet,Is This Love?,CBS,56,1
Alison Moyet,That Ole Devil Called Love,CBS,55,1
Alison Moyet,Weak In The Presence Of Beauty,CBS,30,1
Alphaville,Big In Japan,WEA,67,1
Alphaville,Dance With Me,WEA,37,1
Alphaville,Forever Young,WEA,72,1
Alphaville,Jerusalem,WEA,63,1
Alphaville,Jet Set,WEA,53,1
Alphaville,Romeos,WEA,67,1
Alphaville,Sounds Like A Melody,WEA,60,1
Alphaville,Universal Daddy,WEA,40,1
Altered Images,Happy Birthday,Epic,63,1
Alvin Stardust,A Wonderful Time Up There,Stiff,61,1
Alvin Stardust,I Feel Like Buddy Holly,Chrysalis,73,1
Alvin Stardust,Pretend,Stiff,51,1
Amanda Lear,Diamonds,Ariola,73,1
Amanda Lear,Egal,Ariola,75,1
Amanda Lear,"Fabulous Lover, Love Me",Ariola,25,12
Amanda Lear,Solomon Gundie,Ariola,56,1
Amazulu,Too Good To Be Forgotten,Island,63,1
America,The Last Unicorn,Virgin,64,1
Amii Stewart,Jealousy,Hansa Int.,31,10
Amii Stewart,The Letter,Hansa Int.,54,1
Andrea Jürgens,"Amore, amore",White,99,1
Andrea Jürgens,Eine Rose für dich,Ariola,19,6
Andrea Jürgens,Japanese Boy,Ariola,11,1
Andrea Jürgens,Mama Lorraine,Ariola,29,1
Andrea Jürgens,Playa Blanca,Ariola,64,1
Andrea Jürgens,Wir tanzen Lambada,White,74,1
Andreas Martin,Amore mio,Coconut,67,1
Andreas Martin,"Du bist alles (Maria, Maria)",EMI,68,1
Andreas Martin,Du wirst an mich denken,EMI,69,1
Andreas Martin,Herz an Herz,EMI,65,1
Andreas Martin,Nur bei dir,EMI,68,1
Andy Borg,Adios amor,Papagayo,36,1
Andy Borg,Am Anfang war die Liebe,Papagayo,71,1
Andy Borg,Angelo mio,Papagayo,64,1
Andy Borg,Arrivederci Claire,Papagayo,42,1
Andy Borg,Barcarole vom Abschied,Papagayo,65,1
Andy Borg,Ich will deine Tränen weinen,Papagayo,74,1
Andy Borg,"Ich will nicht wissen, wie du heißt",Papagayo,36,1
Andy Borg,Lang schon ging die Sonne unter,Papagayo,66,1
Andy Borg,Laß es mich ganz leise sagen,Papagayo,69,1
Andy Borg,Weil wir uns lieben,Papagayo,74,1
Andy Gibb,Desire,RSO,37,1
Andy Gibb,Time Is Time,RSO,44,1
Aneka,Japanese Boy,Hansa Int.,57,1
Aneka,Little Lady,Hansa Int.,22,1
Aneka,Ooh Shooby Doo Doo Lang,Hansa Int.,51,1
Angelika Milster,Erinnerung,Polydor,50,1
Animotion,I Engineer,Casablanca-Phonogram,75,1
Animotion,I Want You,Casablanca-Phonogram,27,1
Animotion,Let Him Go,Mercury,46,1
Animotion,Obsession,Mercury,75,1
Anne Clark,Our Darkness,Virgin,44,1
Anne Haigis,Freundin,Musikant,68,1
Annie Lennox & Al Green,Put A Little Love In Your Heart,A&M-Polydor,27,1
Antonello Venditti,Buona domenica,Metronome,41,1
Arabesque,In For A Penny,Metronome,65,1
Arabesque,Indio Boy,Metronome,75,1
Arabesque,Marigot Bay,Metronome,29,1
Arabesque,Take Me Don't Break Me,Metronome,42,1
Arabesque,Tall Story Teller,Metronome,56,1
Arcadia,Election Day,Parlophone,72,1
Arcadia,The Promise,Parlophone,73,1
Aretha & Elton,Through The Storm,Arista,58,1
Aretha Franklin,Another Night,Arista,63,1
Aretha Franklin,Jumpin' Jack Flash,Arista,51,1
Aretha Franklin,Who's Zoomin' Who,Arista,49,1
Aretha Franklin & George Michael,I Knew You Were Waiting (For Me),Epic,17,1
Art Garfunkel,Bright Eyes,CBS,3,31
Arthur Baker and The Backbeat Disciples feat. Al Green,The Message Is Love,A&M-Polydor,56,1
Artists United Against Apartheid,Sun City,Manhattan,57,1
Artists United For Nature,Yes We Can,Virgin,93,1
Ashford & Simpson,Babies,Capitol,63,1
Ashford & Simpson,Solid,Capitol,72,1
Asia,Don't Cry,Geffen,70,1
Asia,Heat Of The Moment,Geffen,10,1
Asia,Only Time Will Tell,Geffen,50,1
Asia,Sole Survivor,Geffen,75,1
Aswad,Don't Turn Around,Island,34,1
Aswad,Give A Little Love,Island,61,1
Audrey Landers,Little River,Ariola,71,1
Audrey Landers,Manuel Goodbye,Ariola,46,1
Audrey Landers,Playa Blanca,Ariola,48,1
Audrey Landers & Camilo Sesto,Mi amor,Ariola,67,1
Ava,True Love,EMI,59,1
Aztec Camera,Somewhere In My Heart,WEA,62,1
B.A. Robertson,Bang Bang,Asylum,6,10
B.A. Robertson,To Be Or Not To Be,Asylum,36,1
B.V.S.M.P.,Anytime,BCM,22,1
B.V.S.M.P.,Be Gentle,BCM,24,1
B.V.S.M.P.,I Need You,BCM,72,1
BAP,Bunte Trümmer,EMI,65,1
