theme,input_song,input_artist,input_genre,input_preview_url,output_song,output_artist,output_genre,ouput_preview_url
alt_rock,where is my mind? - remastered,pixies,"['alt_rock', 'alternative', 'rock']",https://p.scdn.co/mp3-preview/03da0b85c9fa2fb5e621e97d4fb145a17aaf7ef1?cid=8486f3ccf66b437d8cc1fe65984e92a0,rim of hell,d-a-d,"['alt_rock', 'alternative', 'rock']",https://p.scdn.co/mp3-preview/d75c30e291c72467b6124ec4c97c17f5d8268dc5?cid=8486f3ccf66b437d8cc1fe65984e92a0
country,9 to 5,dolly parton,"['country', 'pop']",https://p.scdn.co/mp3-preview/6384764199bf3d44f69085d62e10a076855ac8c8?cid=8486f3ccf66b437d8cc1fe65984e92a0,fire and smoke,earl thomas conley,"['country', 'pop']",https://p.scdn.co/mp3-preview/246c1eaff04817b4d25fff7e293c84763dc438ad?cid=8486f3ccf66b437d8cc1fe65984e92a0
dance,i wanna dance with somebody (who loves me),whitney houston,"['dance', 'pop']",https://p.scdn.co/mp3-preview/7414ae6c811dee16c467c256429c7427fbcc98d0?cid=8486f3ccf66b437d8cc1fe65984e92a0,the loco-motion,kylie minogue,"['dance', 'pop']",https://p.scdn.co/mp3-preview/10960c743508d60f055017562764ac5f48a6892e?cid=8486f3ccf66b437d8cc1fe65984e92a0
dance,like a virgin,madonna,"['dance', 'pop']",https://p.scdn.co/mp3-preview/432313c4732bd242c04b5eafee08bdc93f616251?cid=8486f3ccf66b437d8cc1fe65984e92a0,iko iko,cyndi lauper,"['dance', 'pop']",https://p.scdn.co/mp3-preview/c57322a6ae616fd7c230e3f0e153d42a15f681fb?cid=8486f3ccf66b437d8cc1fe65984e92a0
disco,i'm so excited,the pointer sisters,"['pop', 'rock', 'disco']",https://p.scdn.co/mp3-preview/233c66ecad027c7a483ea286bf892afef40f0a02?cid=8486f3ccf66b437d8cc1fe65984e92a0,stay the night,billy ocean,"['disco', 'pop', 'rock', 'synth_pop']",https://p.scdn.co/mp3-preview/b478f40ed808bc1b91487d3b5143bffd6a8b269c?cid=8486f3ccf66b437d8cc1fe65984e92a0
disco,flashdance...what a feeling - radio edit,irene cara,"['disco', 'pop', 'rock', 'synth_pop']",https://p.scdn.co/mp3-preview/2d32514c920447ce869c2599cc0950e8f8d5d789?cid=8486f3ccf66b437d8cc1fe65984e92a0,loverboy,billy ocean,"['disco', 'pop', 'rock', 'synth_pop']",https://p.scdn.co/mp3-preview/6e93911049fdf68eacda107ccffd7ed0ad65872a?cid=8486f3ccf66b437d8cc1fe65984e92a0
funk,burning down the house,talking heads,"['dance', 'funk', 'punk', 'punk-rock', 'rock']",https://p.scdn.co/mp3-preview/332494ff8de2caf02245cf96d48a71462dc24896?cid=8486f3ccf66b437d8cc1fe65984e92a0,we all stand - 2015 remaster,new order,"['dance', 'punk', 'punk_rock', 'rock']",https://p.scdn.co/mp3-preview/8fee67803d45675db094f0a5c846d43f1f808b91?cid=8486f3ccf66b437d8cc1fe65984e92a0
funk,purple rain,prince,"['funk', 'rock']",https://p.scdn.co/mp3-preview/0f35470724b760a0d96d34e7be3fe8ddb6dcd6f4?cid=8486f3ccf66b437d8cc1fe65984e92a0,lavender - 2017 remaster,marillion,['rock'],https://p.scdn.co/mp3-preview/4ea60db7e41955f337cd6a5d6fbf83f38f9143cf?cid=8486f3ccf66b437d8cc1fe65984e92a0
hard_rock,back in black,ac/dc,"['hard_rock', 'rock']",https://p.scdn.co/mp3-preview/81e64fa3a306418f6bb51325a93df0c75ea50d42?cid=8486f3ccf66b437d8cc1fe65984e92a0,everybody wants some!! - 2015 remaster,van halen,"['hard_rock', 'rock']",https://p.scdn.co/mp3-preview/41ffa3d1ea6376e065a6353bb4cf82fea78e0b4d?cid=8486f3ccf66b437d8cc1fe65984e92a0
hard_rock,don't stop believin',journey,"['hard_rock', 'rock']",https://p.scdn.co/mp3-preview/f7b88f49127f9d414e8f4c0cbbe190648cf3cf9b?cid=8486f3ccf66b437d8cc1fe65984e92a0,for those about to rock (we salute you),ac/dc,"['hard_rock', 'rock']",https://p.scdn.co/mp3-preview/a0c80798a0be24596b7cebe89cfdf52cb407ca39?cid=8486f3ccf66b437d8cc1fe65984e92a0
