"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Access code","In diesem Teil bewerten Sie die nächste Version unseres Recommender Modells. Das Vorgehen dabei ist gleich geblieben: Sie bewerten wie gut die Liedpaare zueinander passen. Den erst genannten Song kennen Sie bereits. Der Empfohlene Song ist neu.  Falls keine Lied Vorschau angezeigt wird, warten Sie bitte einen Moment. Es kann zu verlängerten Ladezeiten der Webseite kommen. Auch ein neu Laden der Seite kann Abhilfe schaffen. ","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Haben Sie zusätzliche Kommentare oder Anmerkungen zur Umfrage, die Sie gerne mitteilen möchten?","Gesamtzeit","Gruppenzeit: Recommender 2","Fragenzeit: G03Q00","Fragenzeit: G03Q01","Fragenzeit: G03Q03","Fragenzeit: G03Q04","Fragenzeit: G03Q05","Fragenzeit: G03Q06","Fragenzeit: G03Q07","Fragenzeit: G03Q08","Fragenzeit: G03Q09","Fragenzeit: G03Q10","Fragenzeit: G03Q11","Fragenzeit: G03Q12","Fragenzeit: G03Q13","Fragenzeit: G03Q14","Fragenzeit: G03Q15","Fragenzeit: G03Q16","Fragenzeit: G03Q17","Fragenzeit: G03Q18","Fragenzeit: G03Q19","Fragenzeit: G03Q20","Gruppenzeit: Ende der Umfrage","Fragenzeit: G04Q01"
"4","1980-01-01 00:00:00","2","de-easy","1406350144","i9yOWdhp3q2lFSI","","5","8","5","5","3","7","6","8","10","9","10","2","8","7","2","10","3","6","3","","474.33","471.22","","","","","","","","","","","","","","","","","","","","","3.11",""
"5","1980-01-01 00:00:00","2","de-easy","1273146616","wavd33hflun7qC1","","6","9","9","8","5","6","6","9","8","9","9","3","6","7","5","9","6","6","2","","1109.92","1106.88","","","","","","","","","","","","","","","","","","","","","3.04",""
"6","1980-01-01 00:00:00","2","de-easy","1544450177","c3VNw73gqXHVNi6","","6","9","8","8","5","8","7","9","8","7","10","5","7","7","7","9","6","8","4","","284.68","251.86","","","","","","","","","","","","","","","","","","","","","32.82",""
"7","1980-01-01 00:00:00","2","de-easy","135188425","sF9CXChSzqryDNA","","6","7","9","5","4","3","3","9","8","8","8","3","5","7","4","7","6","4","3","","1330.77","1326.58","","","","","","","","","","","","","","","","","","","","","4.19",""
"8","1980-01-01 00:00:00","2","de-easy","422212733","QNzQsDDU5WzFTKj","","6","6","8","8","8","8","8","5","9","7","6","5","5","6","6","9","4","3","7","","192.34","183.92","","","","","","","","","","","","","","","","","","","","","8.42",""
"9","1980-01-01 00:00:00","2","de-easy","1974492260","aAOzTY2vYg9pvCv","","8","9","7","8","5","6","9","10","7","10","9","5","8","5","8","8","5","6","8","","224.47","221.13","","","","","","","","","","","","","","","","","","","","","3.34",""
"10","1980-01-01 00:00:00","2","de-easy","376601154","cmaxM9RuorwIZr4","","5","7","8","5","4","5","8","6","10","8","9","4","9","10","7","10","6","5","4","","482.69","477.39","","","","","","","","","","","","","","","","","","","","","5.3",""
"11","1980-01-01 00:00:00","2","de-easy","1222915962","In8u5l9R2E3Vwza","","7","8","9","4","4","6","8","9","9","7","8","4","4","7","3","6","5","8","3","","240.57","236.7","","","","","","","","","","","","","","","","","","","","","3.87",""
"12","1980-01-01 00:00:00","2","de-easy","1532848976","ZhBjtxNZQtXt9rS","","8","9","9","9","8","8","9","10","10","10","10","9","9","9","8","10","8","9","7","","328.29","324.86","","","","","","","","","","","","","","","","","","","","","3.43",""
"13","1980-01-01 00:00:00","2","de-easy","511140614","SgrektaikLJqPHF","","9","9","8","10","6","6","8","7","8","10","8","5","8","6","8","6","10","8","3","","452.46","446.39","","","","","","","","","","","","","","","","","","","","","6.07",""
"14","1980-01-01 00:00:00","2","de-easy","1110169867","oa7eOD7MVKxvvJz","","2","6","9","6","3","5","8","9","7","7","8","4","7","6","7","6","5","8","4","","243.92","237.5","","","","","","","","","","","","","","","","","","","","","6.42",""
"15","1980-01-01 00:00:00","2","de-easy","221113318","oeaXpWG4nyE9xSO","","5","6","8","8","3","5","3","8","6","9","9","1","8","7","4","9","3","8","3","","381.29","375.62","","","","","","","","","","","","","","","","","","","","","5.67",""
"16","1980-01-01 00:00:00","2","de-easy","298681853","yq2DVeXAY6GoRhS","","2","7","5","2","3","4","5","9","8","8","10","2","4","6","6","7","8","5","5","","481.12","476.99","","","","","","","","","","","","","","","","","","","","","4.13",""
"17","1980-01-01 00:00:00","2","de-easy","1926191894","vfFxk4V4qzvpfwk","","5","7","4","4","4","6","6","8","9","7","7","3","6","7","5","10","5","4","4","","677.73","672.94","","","","","","","","","","","","","","","","","","","","","4.79",""
"19","1980-01-01 00:00:00","2","de-easy","1116231596","lvnTjonKsoU3bXY","","4","9","5","4","4","7","5","9","9","8","9","6","8","5","4","9","6","8","4","","269.16","264.89","","","","","","","","","","","","","","","","","","","","","4.27",""
"21","1980-01-01 00:00:00","2","de-easy","1454971506","FX9etYE6Jk8FclU","","8","8","8","8","7","8","7","7","7","8","8","6","7","8","7","6","7","8","6","","687.17","683.13","","","","","","","","","","","","","","","","","","","","","4.04",""
