theme,input_song,input_artist,input_genre,input_preview_url,output_song,output_artist,output_genre,ouput_preview_url
alt_rock,where is my mind? - remastered,pixies,"['alt_rock', 'alternative', 'rock']",https://p.scdn.co/mp3-preview/03da0b85c9fa2fb5e621e97d4fb145a17aaf7ef1?cid=8486f3ccf66b437d8cc1fe65984e92a0,shades,iggy pop,"['alt_rock', 'alternative', 'rock']",https://open.spotify.com/embed/track/7FhazKWdLIXBTHOxl6tpjK?utm_source=generator
country,9 to 5,dolly parton,"['country', 'pop']",https://p.scdn.co/mp3-preview/6384764199bf3d44f69085d62e10a076855ac8c8?cid=8486f3ccf66b437d8cc1fe65984e92a0,fire and smoke,earl thomas conley,"['country', 'pop']",https://p.scdn.co/mp3-preview/246c1eaff04817b4d25fff7e293c84763dc438ad?cid=8486f3ccf66b437d8cc1fe65984e92a0
dance,i wanna dance with somebody (who loves me),whitney houston,"['dance', 'pop']",https://p.scdn.co/mp3-preview/7414ae6c811dee16c467c256429c7427fbcc98d0?cid=8486f3ccf66b437d8cc1fe65984e92a0,into the groove,"madonna,andy wallace,shep pettibone","['dance', 'pop']",https://p.scdn.co/mp3-preview/584305ae06f53c9873f18f168b4583fdd883fe79?cid=8486f3ccf66b437d8cc1fe65984e92a0
dance,like a virgin,madonna,"['dance', 'pop']",https://p.scdn.co/mp3-preview/432313c4732bd242c04b5eafee08bdc93f616251?cid=8486f3ccf66b437d8cc1fe65984e92a0,hold back the tears,janet jackson,"['dance', 'pop']",https://open.spotify.com/embed/track/0Y0DR9GgnAzKtE8tuXS5JD?utm_source=generator
disco,i'm so excited - single remix,the pointer sisters,"['pop', 'rock', 'disco']",https://p.scdn.co/mp3-preview/233c66ecad027c7a483ea286bf892afef40f0a02?cid=8486f3ccf66b437d8cc1fe65984e92a0,macarthur park suite: macarthur park/one of a kind/heavens knows/macarthur park reprise,donna summer,"['disco', 'pop', 'rock']",https://open.spotify.com/embed/track/42tYHqMxXxXHAAWqLaoOfQ?utm_source=generator
disco,flashdance... what a feeling - extended remix,irene cara,"['disco', 'pop', 'rock', 'synth_pop']",https://p.scdn.co/mp3-preview/2d32514c920447ce869c2599cc0950e8f8d5d789?cid=8486f3ccf66b437d8cc1fe65984e92a0,inner feelings,billy ocean,"['pop', 'rock', 'synth_pop', 'disco']",https://p.scdn.co/mp3-preview/38bf1e7e5ad0d8a9b043e2b82b69dbfb51ec014f?cid=8486f3ccf66b437d8cc1fe65984e92a0
funk,burning down the house - 2005 remaster,talking heads,"['dance', 'funk', 'punk', 'punk-rock', 'rock']",https://p.scdn.co/mp3-preview/332494ff8de2caf02245cf96d48a71462dc24896?cid=8486f3ccf66b437d8cc1fe65984e92a0,sooner than you think - 2015 remaster,new order,"['dance', 'punk', 'punk_rock', 'rock']",https://p.scdn.co/mp3-preview/4323685a1c69f9df5c1ef5417b7acda3c9c6399d?cid=8486f3ccf66b437d8cc1fe65984e92a0
funk,purple rain,prince,"['funk', 'rock']",https://p.scdn.co/mp3-preview/0f35470724b760a0d96d34e7be3fe8ddb6dcd6f4?cid=8486f3ccf66b437d8cc1fe65984e92a0,"going home - live at hammersmith odeon, london/1983",dire straits,['rock'],https://open.spotify.com/embed/track/6hqVElVLAFBEtAaSWQf8pY?utm_source=generator
hard_rock,back in black,ac/dc,"['hard_rock', 'rock']",https://p.scdn.co/mp3-preview/81e64fa3a306418f6bb51325a93df0c75ea50d42?cid=8486f3ccf66b437d8cc1fe65984e92a0,sweet emotion,aerosmith,"['hard_rock', 'rock']",https://open.spotify.com/embed/track/73TxYZd0lBCVRrHawrAglA?utm_source=generator
hard_rock,"don't stop believin' - live at the summit, houston, texas, november 6, 1981",journey,"['hard_rock', 'rock']",https://p.scdn.co/mp3-preview/f7b88f49127f9d414e8f4c0cbbe190648cf3cf9b?cid=8486f3ccf66b437d8cc1fe65984e92a0,fight fire with fire,kansas,"['hard_rock', 'rock']",https://p.scdn.co/mp3-preview/6880a0b5e3594962eeed2eab05d1fa23e4c75310?cid=8486f3ccf66b437d8cc1fe65984e92a0
