"Antwort ID","Datum Abgeschickt","Letzte Seite","Start-Sprache","Zufallsstartwert","Access code","In diesem Teil bewerten Sie die finale Version unseres Recommender Modells. Das Vorgehen dabei ist gleich geblieben: Sie bewerten wie gut die Liedpaare zueinander passen. Den erst genannten Song kennen Sie bereits. Der Empfohlene Song ist neu.  Falls keine Lied Vorschau angezeigt wird, warten Sie bitte einen Moment. Es kann zu verlängerten Ladezeiten der Webseite kommen. Auch ein neu Laden der Seite kann Abhilfe schaffen. ","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Dies ist das Lied worauf die Empfehlung basiert:    Dies ist das empfohlene Lied:    [Wie gut passen die Lieder zueinander?]","Haben Sie zusätzliche Kommentare oder Anmerkungen zur Umfrage, die Sie gerne mitteilen möchten?","Gesamtzeit","Gruppenzeit: Recommender 3","Fragenzeit: G03Q00","Fragenzeit: G03Q01","Fragenzeit: G03Q03","Fragenzeit: G03Q04","Fragenzeit: G03Q05","Fragenzeit: G03Q06","Fragenzeit: G03Q07","Fragenzeit: G03Q08","Fragenzeit: G03Q09","Fragenzeit: G03Q10","Fragenzeit: G03Q11","Fragenzeit: G03Q12","Fragenzeit: G03Q13","Fragenzeit: G03Q14","Fragenzeit: G03Q15","Fragenzeit: G03Q16","Fragenzeit: G03Q17","Fragenzeit: G03Q18","Fragenzeit: G03Q19","Fragenzeit: G03Q20","Gruppenzeit: Ende der Umfrage","Fragenzeit: G04Q01"
"5","1980-01-01 00:00:00","2","de-easy","1052700266","QNzQsDDU5WzFTKj","","4","9","4","7","4","5","8","9","5","9","4","6","8","7","6","6","9","8","5","","307.59","298.38","","","","","","","","","","","","","","","","","","","","","9.21",""
"6","1980-01-01 00:00:00","2","en","644426716","3hzvSiKrFeDvR7w","","8","6","1","7","2","8","1","5","5","7","3","1","8","5","7","8","7","8","6","great selections...thnx. cheers.","519.52","480.11","","","","","","","","","","","","","","","","","","","","","39.41",""
"8","1980-01-01 00:00:00","2","de-easy","2054059131","c3VNw73gqXHVNi6","","8","8","7","8","9","7","9","9","7","9","9","6","7","8","8","10","9","9","9","","165.99","164.24","","","","","","","","","","","","","","","","","","","","","1.75",""
"9","1980-01-01 00:00:00","2","de-easy","666395654","vZlhdAhOfJUFNBR","","9","9","9","9","8","8","10","10","8","10","9","9","10","9","9","10","8","9","8","","325.93","323.99","","","","","","","","","","","","","","","","","","","","","1.94",""
"10","1980-01-01 00:00:00","2","de-easy","57145109","yq2DVeXAY6GoRhS","","6","6","5","6","7","3","7","7","7","9","7","3","9","9","8","5","7","4","5","","294.61","288.6","","","","","","","","","","","","","","","","","","","","","6.01",""
"11","1980-01-01 00:00:00","2","en","1677583872","6uK9uF09xVMAU0W","","9","7","5","5","9","9","8","9","6","10","4","2","10","5","4","9","9","10","8","","1973.44","1962.94","","","","","","","","","","","","","","","","","","","","","10.5",""
"12","1980-01-01 00:00:00","2","en","1888543362","Vylapo3YRcjZulc","","5","8","6","8","6","7","5","7","7","7","5","5","6","7","7","7","7","7","5","","1237.89","1230.58","","","","","","","","","","","","","","","","","","","","","7.31",""
"13","1980-01-01 00:00:00","2","de-easy","940847398","FgJcnmDFwuNbZ6V","","2","5","1","4","3","1","1","4","6","3","4","2","8","1","1","5","3","5","5","war schön,  die Lieder mal wieder zu hören🤗","1356.16","1289.84","","","","","","","","","","","","","","","","","","","","","66.32",""
"14","1980-01-01 00:00:00","2","de-easy","71791070","lvnTjonKsoU3bXY","","6","7","6","8","9","7","8","10","7","10","8","6","10","7","6","9","6","9","6","","224.39","218.98","","","","","","","","","","","","","","","","","","","","","5.41",""
"15","1980-01-01 00:00:00","2","de-easy","1218986636","zKWIng6Rig2H6mY","","5","7","3","7","7","6","8","6","2","9","9","6","5","4","7","6","8","7","4","","503.27","500.43","","","","","","","","","","","","","","","","","","","","","2.84",""
"16","1980-01-01 00:00:00","2","de-easy","1666992876","oa7eOD7MVKxvvJz","","8","7","8","10","9","8","10","9","9","10","9","7","9","7","9","7","6","6","7","","764.74","759.77","","","","","","","","","","","","","","","","","","","","","4.97",""
"17","1980-01-01 00:00:00","2","en","265440791","BYGNEdqLaqbodCv","","2","4","2","7","3","3","3","6","4","7","2","1","3","3","3","5","2","4","2","","798.44","793.34","","","","","","","","","","","","","","","","","","","","","5.1",""
"18","1980-01-01 00:00:00","2","de-easy","1653368683","cmaxM9RuorwIZr4","","5","6","7","9","8","4","4","7","8","10","6","4","9","7","4","10","6","9","6","","493.77","486.81","","","","","","","","","","","","","","","","","","","","","6.96",""
"20","1980-01-01 00:00:00","2","de-easy","1437117374","J4ArG6zBHzaZmAG","","9","10","7","9","8","9","8","9","8","9","7","7","9","10","7","9","9","8","8","Bei diesem Teil der Umfrage haben die Empfehlungen durchgehend gut funktioniert. ","430.56","380.96","","","","","","","","","","","","","","","","","","","","","49.6",""
"21","1980-01-01 00:00:00","2","de-easy","356957677","fTnlK7T6UQ1WTyE","","8","8","7","7","8","7","8","8","4","9","7","7","7","7","8","6","5","6","6","","750.94","748.13","","","","","","","","","","","","","","","","","","","","","2.81",""
"22","1980-01-01 00:00:00","2","en","30930274","YTmYpmRaKIywPzK","","6","8","7","9","8","8","8","7","6","7","8","5","9","9","5","6","6","8","6","","45.52","42.14","","","","","","","","","","","","","","","","","","","","","3.38",""
"23","1980-01-01 00:00:00","2","de-easy","2098395820","aAOzTY2vYg9pvCv","","6","9","7","6","7","7","5","6","6","7","6","5","7","6","7","7","8","9","8","","202.17","197.84","","","","","","","","","","","","","","","","","","","","","4.33",""
"24","1980-01-01 00:00:00","2","de-easy","1611442528","SgrektaikLJqPHF","","10","10","10","10","10","10","10","10","10","10","10","10","9","10","10","9","10","10","8","","397.44","386.44","","","","","","","","","","","","","","","","","","","","","11",""
"25","1980-01-01 00:00:00","2","de-easy","376945220","HrOBFufzrAwl9ua","","6","10","8","9","1","8","10","6","8","10","3","8","4","7","5","10","8","8","5","","531.33","527.43","","","","","","","","","","","","","","","","","","","","","3.9",""
"26","1980-01-01 00:00:00","2","de-easy","40045291","In8u5l9R2E3Vwza","","8","9","7","8","9","3","5","7","8","10","3","4","7","9","4","9","7","6","5","","374.41","370.24","","","","","","","","","","","","","","","","","","","","","4.17",""
"27","1980-01-01 00:00:00","2","de-easy","1033190329","uOJqQ6NcoUb7XJC","","8","9","9","9","10","9","8","10","10","8","10","8","8","8","9","10","10","8","7","","478.93","473.79","","","","","","","","","","","","","","","","","","","","","5.14",""
"28","1980-01-01 00:00:00","2","de-easy","1168204481","FX9etYE6Jk8FclU","","9","8","8","9","8","6","8","9","8","8","7","9","8","7","7","9","7","8","7","","504.29","501.42","","","","","","","","","","","","","","","","","","","","","2.87",""
"29","1980-01-01 00:00:00","2","de-easy","465574778","CXHbUfosYxgaojd","","5","7","6","9","6","6","7","8","8","9","7","8","7","6","8","8","9","8","5","Auch mal lustige Abwechslung um alte neue Lieder wieder zu finden ","429.44","394.85","","","","","","","","","","","","","","","","","","","","","34.59",""
"30","1980-01-01 00:00:00","2","de-easy","1660213651","KJyms4rE5dvOHKz","","8","6","5","7","8","4","6","7","9","4","7","6","7","6","7","9","8","7","6","","381.09","377.11","","","","","","","","","","","","","","","","","","","","","3.98",""
"31","1980-01-01 00:00:00","2","de-easy","1754835170","Q9DYERDBRNC8pGC","","3","8","6","8","7","6","4","5","3","4","4","8","8","6","7","6","8","6","8","","1420.72","1401.28","","","","","","","","","","","","","","","","","","","","","19.44",""
"32","1980-01-01 00:00:00","2","de-easy","1661021530","Ed6eTnraqzCuT6e","","3","7","2","4","2","5","6","9","2","8","4","2","2","6","7","6","5","6","2","","287.59","283.22","","","","","","","","","","","","","","","","","","","","","4.37",""
"33","1980-01-01 00:00:00","2","de-easy","1080670226","OkIIpFHalUV92X4","","8","9","7","7","9","6","7","9","8","10","8","6","7","7","8","7","7","8","7","","280.71","278.03","","","","","","","","","","","","","","","","","","","","","2.68",""
"34","1980-01-01 00:00:00","2","de-easy","584928068","o37w6Jq7j11dk4O","","5","9","7","10","8","5","10","5","9","6","9","5","6","8","8","10","8","9","7","","143.16","140.23","","","","","","","","","","","","","","","","","","","","","2.93",""
"35","1980-01-01 00:00:00","2","de-easy","1131476528","wavd33hflun7qC1","","9","8","8","8","8","8","9","10","9","9","7","8","9","9","9","9","8","9","8","","483.95","481.57","","","","","","","","","","","","","","","","","","","","","2.38",""
"36","1980-01-01 00:00:00","2","de-easy","916828122","aEPiPKzzaPOOH4H","","7","10","3","7","2","3","2","8","3","7","4","3","3","3","5","7","6","5","5","","434.29","427.6","","","","","","","","","","","","","","","","","","","","","6.69",""
